request_id,payload_size_bytes,special_char_ratio,requests_per_minute,unique_endpoints_last_5min,hour_of_day,response_time_ms,failed_requests_ratio,is_anomaly
REQ-000001,50.0,0.0929,0.34,3,11,61.2,0.0937,0
REQ-000002,100.4,0.0294,7.31,2,12,64.3,0.0294,0
REQ-000003,171.7,0.0241,1.66,3,6,111.4,0.0433,0
REQ-000004,120.2,0.0424,0.66,3,21,88.6,0.0298,0
REQ-000005,272.2,0.0943,5.92,1,14,62.2,0.0091,0
REQ-000006,115.9,0.0491,2.9,2,21,82.5,0.0026,0
REQ-000007,145.9,0.0473,0.32,1,7,185.7,0.0222,0
REQ-000008,160.5,0.0653,1.26,3,20,146.4,0.048,0
REQ-000009,51.6,0.1048,1.26,3,6,91.0,0.0167,0
REQ-000010,232.9,0.062,0.1,1,16,99.6,0.0022,0
REQ-000011,268.5,0.0149,0.33,1,6,69.6,0.0041,0
REQ-000012,243.3,0.0503,0.32,3,10,74.6,0.0522,0
REQ-000013,104.9,0.1272,0.63,2,6,66.6,0.1311,0
REQ-000014,195.5,0.0692,3.81,1,15,97.2,0.0102,0
REQ-000015,194.2,0.15,0.24,3,22,126.4,0.0065,0
REQ-000016,221.1,0.0308,2.2,2,16,168.7,0.0186,0
REQ-000017,112.0,0.048,0.78,1,17,185.3,0.0016,0
REQ-000018,177.3,0.0401,2.63,3,11,137.0,0.0311,0
REQ-000019,73.2,0.0482,2.28,3,11,116.4,0.0033,0
REQ-000020,187.0,0.0837,0.42,1,21,102.5,0.0418,0
REQ-000021,436.4,0.147,0.24,1,20,91.4,0.0667,0
REQ-000022,124.2,0.0819,1.27,3,9,79.5,0.001,0
REQ-000023,212.3,0.1307,2.21,2,21,79.9,0.1113,0
REQ-000024,107.2,0.048,0.29,1,11,108.3,0.0016,0
REQ-000025,149.4,0.0471,2.79,1,7,124.5,0.0754,0
REQ-000026,122.6,0.0668,0.12,3,9,38.6,0.0513,0
REQ-000027,105.9,0.1002,0.61,2,9,101.1,0.0014,0
REQ-000028,89.2,0.0339,4.25,2,20,88.1,0.0032,0
REQ-000029,73.1,0.049,2.87,3,6,74.0,0.0258,0
REQ-000030,129.5,0.0728,0.35,3,14,75.0,0.0026,0
REQ-000031,310.2,0.0103,0.95,3,18,63.5,0.0165,0
REQ-000032,88.9,0.0246,3.56,3,10,117.9,0.0252,0
REQ-000033,93.0,0.0443,2.3,3,6,91.7,0.0248,0
REQ-000034,157.3,0.0138,0.11,3,17,96.9,0.0051,0
REQ-000035,278.6,0.0929,0.98,3,9,113.0,0.0054,0
REQ-000036,72.4,0.15,1.8,1,18,115.3,0.0042,0
REQ-000037,310.8,0.0433,0.24,3,14,100.3,0.01,0
REQ-000038,90.4,0.0393,0.29,3,7,109.0,0.0019,0
REQ-000039,404.3,0.0373,1.27,3,21,41.0,0.0218,0
REQ-000040,278.0,0.0897,3.02,3,22,43.3,0.0412,0
REQ-000041,121.1,0.0298,4.9,2,20,115.1,0.0088,0
REQ-000042,235.1,0.0537,0.66,2,13,93.2,0.0263,0
REQ-000043,88.9,0.0372,2.27,2,17,96.4,0.011,0
REQ-000044,110.6,0.1479,0.1,2,8,55.8,0.0212,0
REQ-000045,320.6,0.0461,0.1,1,9,170.3,0.0272,0
REQ-000046,89.8,0.0102,0.8,3,6,116.5,0.0087,0
REQ-000047,254.6,0.0267,0.37,3,15,216.1,0.0128,0
REQ-000048,133.4,0.0721,2.2,2,8,120.4,0.0357,0
REQ-000049,204.7,0.0568,6.49,1,11,118.5,0.0459,0
REQ-000050,123.3,0.1037,0.38,2,17,54.5,0.0056,0
REQ-000051,145.3,0.041,1.89,3,9,88.4,0.0081,0
REQ-000052,134.0,0.0046,2.07,3,8,79.1,0.0329,0
REQ-000053,50.8,0.1244,1.59,1,22,69.8,0.0032,0
REQ-000054,125.6,0.0252,5.68,3,7,70.1,0.0112,0
REQ-000055,100.8,0.1024,0.92,1,14,124.3,0.0044,0
REQ-000056,154.8,0.0437,3.17,1,17,99.3,0.0428,0
REQ-000057,218.9,0.0616,0.9,1,18,81.7,0.0395,0
REQ-000058,188.3,0.0305,2.57,1,12,106.1,0.007,0
REQ-000059,85.8,0.0137,8.05,1,9,136.6,0.0535,0
REQ-000060,166.1,0.0278,1.53,3,10,40.1,0.0259,0
REQ-000061,610.0,0.0699,0.1,2,16,98.1,0.014,0
REQ-000062,66.7,0.0156,0.84,3,22,95.6,0.0235,0
REQ-000063,186.7,0.0637,7.33,1,7,106.5,0.0064,0
REQ-000064,179.1,0.0125,0.4,1,12,81.3,0.0379,0
REQ-000065,93.2,0.0343,0.37,2,16,114.8,0.025,0
REQ-000066,173.0,0.0521,0.36,3,13,48.2,0.0025,0
REQ-000067,390.4,0.0917,2.37,3,11,131.7,0.0073,0
REQ-000068,165.9,0.0679,5.43,2,15,101.1,0.0116,0
REQ-000069,201.5,0.0403,5.14,2,19,47.7,0.0195,0
REQ-000070,191.9,0.1324,0.11,3,17,102.8,0.0102,0
REQ-000071,134.7,0.0248,3.65,1,6,195.9,0.035,0
REQ-000072,83.1,0.0207,3.06,2,6,217.1,0.0002,0
REQ-000073,375.1,0.0228,0.4,3,13,118.1,0.0164,0
REQ-000074,189.5,0.0365,5.58,1,20,70.6,0.0414,0
REQ-000075,166.9,0.0324,1.45,1,18,118.9,0.0083,0
REQ-000076,357.9,0.0524,2.87,1,20,198.3,0.0088,0
REQ-000077,128.1,0.0539,4.52,3,17,107.8,0.0035,0
REQ-000078,112.7,0.0114,0.1,3,18,75.6,0.1152,0
REQ-000079,158.3,0.0244,1.96,3,16,147.6,0.008,0
REQ-000080,634.1,0.0645,0.72,3,10,75.5,0.0118,0
REQ-000081,77.5,0.0264,2.05,3,20,97.3,0.0536,0
