session_id,typing_speed_wpm,keystroke_interval_std_ms,session_duration_sec,login_hour,geo_distance_from_home_km,failed_pin_attempts,device_change_flag,is_anomaly
SESS-000001,20.6,72.4,219.7,14,16.5,0,1,0
SESS-000002,38.5,29.3,120.0,22,0.0,0,0,0
SESS-000003,47.4,53.4,105.6,17,4.3,0,0,0
SESS-000004,41.5,82.9,143.8,13,12.2,0,0,0
SESS-000005,55.1,86.1,181.5,22,2.1,0,1,0
SESS-000006,40.9,63.9,175.9,12,5.3,0,0,0
SESS-000007,44.7,45.5,307.0,20,0.6,0,0,0
SESS-000008,46.3,59.9,327.5,6,1.7,0,0,0
SESS-000009,27.4,64.0,87.8,14,13.4,0,0,0
SESS-000010,52.5,56.0,343.8,18,2.1,0,0,0
SESS-000011,54.9,69.8,193.7,10,7.3,0,0,0
SESS-000012,53.2,82.9,85.8,18,2.8,0,0,0
SESS-000013,39.2,128.9,248.9,18,5.3,0,0,0
SESS-000014,49.6,104.5,136.9,7,8.0,1,0,0
SESS-000015,49.5,54.4,205.5,17,2.3,0,0,0
SESS-000016,51.6,66.6,204.4,6,9.5,0,0,0
SESS-000017,40.3,52.3,30.0,11,12.0,0,0,0
SESS-000018,48.0,71.4,113.2,17,3.9,0,0,0
SESS-000019,33.2,121.7,92.4,14,3.6,0,0,0
SESS-000020,48.8,49.8,152.1,9,4.9,0,0,0
SESS-000021,63.0,75.3,115.5,11,12.1,0,0,0
SESS-000022,42.0,44.0,104.8,16,2.4,0,0,0
SESS-000023,51.0,77.2,203.7,18,0.8,0,1,0
SESS-000024,39.6,81.9,96.0,22,6.8,0,0,0
SESS-000025,45.1,52.7,170.8,7,8.1,0,1,0
SESS-000026,41.8,46.9,184.8,10,12.5,0,0,0
SESS-000027,39.4,83.4,133.1,20,1.6,1,0,0
SESS-000028,36.5,69.9,140.5,17,0.9,0,0,0
SESS-000029,33.2,69.7,157.7,22,2.9,0,0,0
SESS-000030,42.7,99.1,393.3,8,2.7,0,0,0
SESS-000031,57.3,75.3,253.1,22,8.9,1,0,0
SESS-000032,36.5,73.3,297.7,15,3.4,0,0,0
SESS-000033,37.2,95.9,215.8,18,1.8,0,0,0
SESS-000034,46.0,99.8,136.9,11,2.8,0,0,0
SESS-000035,55.5,93.2,158.6,19,0.1,0,0,0
SESS-000036,33.0,48.3,137.4,17,5.7,0,0,0
SESS-000037,57.3,46.0,182.4,22,7.7,1,0,0
SESS-000038,36.7,51.0,134.3,13,1.4,0,0,0
SESS-000039,61.7,81.9,96.6,7,3.1,0,0,0
SESS-000040,55.5,80.4,110.0,20,8.7,0,0,0
SESS-000041,41.6,70.4,150.7,7,8.1,0,0,0
SESS-000042,52.7,74.0,115.1,7,4.0,0,0,0
SESS-000043,36.5,121.0,140.7,16,1.4,0,0,0
SESS-000044,40.1,98.7,167.9,16,5.0,0,0,0
SESS-000045,57.8,99.3,53.4,11,3.1,0,0,0
SESS-000046,36.6,43.5,82.0,18,2.0,0,0,0
SESS-000047,54.0,99.0,365.7,15,1.7,0,0,0
SESS-000048,43.2,80.5,401.6,22,0.7,0,0,0
SESS-000049,50.4,68.9,91.1,11,0.0,0,0,0
SESS-000050,41.9,83.4,389.5,13,2.1,1,0,0
SESS-000051,44.6,85.0,152.6,6,0.8,0,0,0
SESS-000052,43.3,64.6,252.5,15,3.8,0,0,0
SESS-000053,27.1,68.1,127.3,6,0.0,0,0,0
SESS-000054,42.2,71.6,127.6,13,0.2,0,0,0
SESS-000055,38.6,109.6,129.6,12,13.3,0,0,0
