Transaction_ID,Transaction_Amount_INR,Transaction_Type,Merchant_Category,Hour_of_Day,Day_of_Week,Is_New_Device,Is_New_Location,Distance_From_Home_KM,Account_Age_Days,Time_Since_Last_Transaction_Minutes,Is_Fraud
TXN-000001,1835.9,ATM Withdrawal,Electronics,16,1,0,0,1.61,501,213.92,0
TXN-000002,1643.11,UPI,Entertainment,20,2,0,1,10.25,2298,91.35,0
TXN-000003,1614.97,NEFT,Entertainment,11,0,0,0,9.24,1356,105.13,0
TXN-000004,405.82,NEFT,Grocery,18,1,1,0,9.67,2525,83.94,0
TXN-000005,1060.74,Card Payment,Entertainment,14,1,0,0,6.12,158,79.66,0
TXN-000006,7017.41,Card Payment,Jewelry,17,2,0,0,10.42,954,9.57,0
TXN-000007,1542.7,UPI,Cash Withdrawal,14,0,0,0,12.93,1141,9.65,0
TXN-000008,1394.91,UPI,Entertainment,19,6,1,0,1.07,1732,349.67,0
TXN-000009,3392.44,UPI,Utility Bills,6,6,0,0,8.78,2023,15.22,0
TXN-000010,4168.55,Card Payment,Entertainment,17,1,0,0,5.63,2758,22.36,0
TXN-000011,629.31,Card Payment,Entertainment,21,0,0,0,7.55,2865,13.58,0
TXN-000012,1563.51,NEFT,Utility Bills,21,2,0,0,16.16,1826,66.46,0
TXN-000013,10348.58,ATM Withdrawal,Grocery,8,5,0,0,2.15,2325,13.97,0
TXN-000014,320.14,UPI,Entertainment,19,4,0,0,4.78,2128,101.27,0
TXN-000015,1653.72,UPI,Others,9,0,0,0,3.74,1668,275.62,0
TXN-000016,599.28,Card Payment,Others,12,6,0,0,2.31,2252,1.08,0
TXN-000017,640.4,Card Payment,Electronics,6,4,1,1,64.54,1851,1.12,1
TXN-000018,4267.35,UPI,Grocery,8,0,0,0,4.37,659,35.75,0
TXN-000019,1505.0,UPI,Grocery,8,6,0,1,9.39,287,170.43,0
TXN-000020,86.58,Card Payment,Grocery,11,4,0,1,16.76,2479,144.06,0
TXN-000021,2660.96,Card Payment,Grocery,15,4,0,0,1.93,1822,338.3,0
TXN-000022,663.25,Card Payment,Grocery,14,2,0,0,0.16,2331,403.94,0
TXN-000023,2179.93,UPI,Utility Bills,17,0,0,0,11.98,3011,34.38,0
TXN-000024,1780.89,Card Payment,Grocery,16,0,0,0,10.67,476,180.01,0
TXN-000025,253.31,UPI,Utility Bills,19,1,0,0,3.95,2870,58.33,0
TXN-000026,3805.78,UPI,Grocery,11,1,0,0,1.21,581,320.32,0
