User_ID,Age,Annual_Income_INR,Current_Savings_INR,Monthly_Disposable_Income_INR,Tax_Bracket,Financial_Goal,Risk_Appetite_Score,Investment_Horizon_Months,Recommended_Asset_Class,Historical_Portfolio_ROI
SWT-00001,39,4057000.0,16610000.0,170400.0,30%,Retirement,8,83,Mutual Funds,15.83
SWT-00002,44,4773000.0,13825000.0,256500.0,30%,Wealth Creation,7,69,Gold,9.69
SWT-00003,50,2215000.0,6806000.0,73000.0,30%,Retirement,7,80,Mutual Funds,18.4
SWT-00004,44,4681000.0,18447000.0,254400.0,30%,Tax Saving,8,81,Mutual Funds,11.19
SWT-00005,52,1737000.0,6188000.0,57100.0,30%,Short-term Gain,7,60,Mutual Funds,2.47
SWT-00006,57,3254000.0,17062000.0,149700.0,30%,Retirement,7,44,Gold,7.76
SWT-00007,44,2474000.0,5654000.0,102100.0,30%,Retirement,7,88,Mutual Funds,11.96
SWT-00008,33,1903000.0,3494000.0,67200.0,30%,Tax Saving,10,87,Mutual Funds,14.76
SWT-00009,50,3452000.0,12524000.0,165300.0,30%,Retirement,6,66,Mutual Funds,4.05
SWT-00010,61,3178000.0,16547000.0,132500.0,30%,Retirement,9,93,Mutual Funds,9.65
SWT-00011,35,3563000.0,4245000.0,199100.0,30%,Retirement,9,100,Equity/Stocks,24.24
SWT-00012,45,3106000.0,8103000.0,118900.0,30%,Retirement,6,89,Gold,7.66
SWT-00013,60,2508000.0,14480000.0,91900.0,30%,Retirement,6,49,Gold,7.01
SWT-00014,40,3357000.0,10377000.0,158900.0,30%,Retirement,9,98,Equity/Stocks,35.89
SWT-00015,51,3095000.0,16083000.0,138900.0,30%,Retirement,6,64,Gold,4.53
SWT-00016,38,3302000.0,9724000.0,150100.0,30%,Tax Saving,6,81,Mutual Funds,17.49
SWT-00017,33,2736000.0,8374000.0,114900.0,30%,Retirement,7,109,Mutual Funds,16.83
SWT-00018,36,3538000.0,6069000.0,133900.0,30%,Wealth Creation,9,86,Equity/Stocks,11.97
SWT-00019,48,1709000.0,2564000.0,63000.0,30%,Tax Saving,5,64,Bonds,5.46
SWT-00020,45,2781000.0,5996000.0,109800.0,30%,Short-term Gain,6,59,Gold,7.88
SWT-00021,51,1804000.0,4282000.0,66200.0,30%,Tax Saving,7,78,Mutual Funds,12.45
SWT-00022,34,2854000.0,3353000.0,97100.0,30%,Short-term Gain,8,81,Mutual Funds,8.18
SWT-00023,53,4636000.0,25000000.0,250900.0,30%,Retirement,6,75,Gold,6.61
SWT-00024,35,2284000.0,5514000.0,80000.0,30%,Wealth Creation,8,67,Mutual Funds,9.52
